date,ts_code,side,size,price,reason,episode
2019-02-21,601099.SH,buy,57400,2.90029,initial_buy,1
2019-02-21,601118.SH,buy,33300,5.0005,initial_buy,1
2019-02-21,601228.SH,buy,35700,4.660466,initial_buy,1
2019-02-21,601319.SH,buy,26800,6.200620000000001,add_on,1
2019-02-21,601336.SH,buy,3700,43.884388,initial_buy,1
2019-02-21,601360.SH,buy,7300,22.642264,add_on,1
2019-02-21,601567.SH,buy,28500,5.830583,initial_buy,1
2019-02-21,601717.SH,buy,29100,5.720572,add_on,1
2019-02-21,601808.SH,buy,56100,8.910891,initial_buy,1
2019-02-21,601857.SH,buy,68200,7.330733,initial_buy,1
2019-02-21,601899.SH,buy,49100,3.38,initial_buy,1
2019-02-21,601990.SH,buy,20600,8.060806000000001,initial_buy,1
2019-02-21,603156.SH,buy,5400,30.723072,add_on,1
2019-02-21,603799.SH,buy,6400,26.022601999999996,initial_buy,1
2019-02-21,603885.SH,buy,12800,12.981298000000002,initial_buy,1
2019-02-22,000528.SZ,sell,-8300,6.88,take_profit_1,1
2019-02-22,000617.SZ,sell,-4900,11.9988,take_profit_1,1
2019-02-22,000887.SZ,sell,-5200,10.9989,take_profit_1,1
2019-02-22,000893.SZ,buy,34600,4.810480999999999,initial_buy,1
2019-02-22,000987.SZ,sell,-6100,9.77,take_profit_1,1
2019-02-22,002152.SZ,sell,-9600,6.1,take_profit_1,1
2019-02-22,002273.SZ,sell,-6700,9.16,take_profit_1,1
2019-02-22,002312.SZ,sell,-16400,3.56,take_profit_1,1
2019-02-22,002384.SZ,sell,-3700,16.25,take_profit_1,1
2019-02-22,002608.SZ,sell,-7100,8.31,take_profit_1,1
2019-02-22,002673.SZ,sell,-6100,10.06,take_profit_1,1
2019-02-22,002683.SZ,sell,-6300,9.309069000000001,take_profit_1,1
2019-02-22,002738.SZ,buy,10600,15.651565000000002,add_on,1
2019-02-22,002926.SZ,sell,-5900,10.27,take_profit_1,1
2019-02-22,002939.SZ,sell,-4900,12.88,take_profit_1,1
2019-02-22,300115.SZ,sell,-6000,11.51,take_profit_1,1
2019-02-22,300122.SZ,buy,4200,39.283928,add_on,1
2019-02-22,300308.SZ,sell,-1700,40.16,take_profit_2,1
2019-02-22,300433.SZ,sell,-7000,8.48,take_profit_1,1
2019-02-22,300601.SZ,buy,4500,36.423642,add_on,1
2019-02-22,300679.SZ,sell,-2500,24.92,take_profit_1,1
2019-02-22,600066.SH,sell,-4300,13.528647,take_profit_1,1
2019-02-22,600085.SH,buy,6100,27.232723,add_on,1
2019-02-22,600521.SH,sell,-13900,12.83,take_profit_1,1
2019-02-22,600739.SH,sell,-4800,13.0,take_profit_1,1
2019-02-22,600958.SH,sell,-5400,12.15,take_profit_1,1
2019-02-22,601099.SH,sell,-19100,3.26,take_profit_1,1
2019-02-22,601108.SH,sell,-6200,9.95,take_profit_1,1
2019-02-22,601216.SH,sell,-18900,3.21,take_profit_1,1
2019-02-22,601319.SH,sell,-8900,6.66,take_profit_1,1
2019-02-22,601990.SH,sell,-6800,9.33,take_profit_1,1
