trade_date,open,high,low,close,volume,amount,pct_chg,ma25,ma60,dif,dea,macd
2023-10-13,1628.65,1635.2,1598.58,1610.36,25027.88,4387687.934,-1.96,1670.4,1674.48,-13.1,-7.06,-12.08
2023-10-16,1610.34,1614.96,1584.11,1590.96,20789.65,3603604.61,-1.21,1665.94,1674.13,-16.68,-8.98,-15.4
2023-10-17,1599.33,1599.73,1578.17,1587.37,14945.23,2577312.288,-0.23,1660.79,1674.07,-19.58,-11.1,-16.96
2023-10-18,1580.75,1602.09,1579.26,1589.21,20317.5,3511987.514,0.12,1655.98,1674.15,-21.48,-13.18,-16.6
2023-10-19,1563.46,1563.49,1495.43,1499.08,73492.37,12146921.769,-5.67,1647.48,1672.72,-29.92,-16.53,-26.78
2023-10-20,1499.08,1522.07,1486.44,1512.88,45376.01,7421390.806,0.92,1640.38,1671.51,-35.09,-20.24,-29.7
2023-10-23,1499.05,1526.67,1491.36,1511.94,25234.23,4138279.588,-0.06,1633.96,1669.56,-38.81,-23.95,-29.72
2023-10-24,1515.64,1520.57,1491.0,1510.99,29861.46,4894807.617,-0.06,1627.37,1667.59,-41.36,-27.44,-27.84
2023-10-25,1535.97,1561.62,1533.13,1542.77,36178.98,6075417.064,2.1,1622.13,1665.28,-40.35,-30.02,-20.66
2023-10-26,1533.11,1552.42,1528.52,1537.92,22386.35,3741418.874,-0.31,1616.7,1662.88,-39.49,-31.91,-15.16
2023-10-27,1530.35,1555.99,1527.22,1542.04,34262.39,5754795.486,0.27,1611.47,1660.41,-38.04,-33.14,-9.8
2023-10-30,1534.95,1553.23,1534.95,1545.99,24086.42,4050573.178,0.26,1607.76,1657.1,-36.15,-33.74,-4.82
2023-10-31,1545.07,1554.26,1533.89,1549.28,19858.77,3335804.699,0.21,1602.44,1654.1,-33.99,-33.79,-0.4
2023-11-01,1701.41,1701.41,1631.32,1637.94,93143.08,16747292.689,5.72,1600.75,1652.44,-24.85,-32.0,14.3
2023-11-02,1650.83,1650.83,1633.41,1636.57,27907.64,4982090.753,-0.08,1599.11,1650.9,-17.51,-29.1,23.18
2023-11-03,1637.03,1669.12,1631.52,1665.76,30176.0,5433116.881,1.78,1599.58,1649.87,-9.23,-25.13,31.8
2023-11-06,1673.82,1677.31,1656.46,1666.46,25523.92,4624102.375,0.04,1598.22,1648.62,-2.58,-20.62,36.08
2023-11-07,1660.03,1664.62,1640.79,1647.31,19581.59,3511590.028,-1.15,1596.71,1647.14,1.13,-16.27,34.8
2023-11-08,1640.76,1658.92,1639.67,1653.9,14545.67,2610041.959,0.4,1596.06,1645.73,4.55,-12.11,33.32
2023-11-09,1646.33,1654.51,1639.79,1650.01,12800.48,2291996.819,-0.24,1595.33,1644.26,6.87,-8.31,30.36
2023-11-10,1637.54,1644.39,1630.69,1633.21,16465.57,2928380.668,-1.02,1594.49,1642.74,7.26,-5.2,24.92
2023-11-13,1629.93,1641.52,1615.86,1622.32,18369.95,3244573.621,-0.67,1594.01,1641.67,6.62,-2.83,18.9
2023-11-14,1622.32,1632.43,1618.65,1623.49,12816.75,2263963.957,0.07,1593.84,1641.09,6.14,-1.04,14.36
2023-11-15,1636.11,1639.69,1625.08,1630.53,18434.86,3271230.275,0.43,1593.63,1640.47,6.25,0.42,11.66
